track_id,artist_id,artist_name,artist_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity,artist_followers,in_spotify_fr_playlist,release_year_y,duration_s,era
3RvVFTMSlEXJjtoLrcDflF,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.499,0.362,7,-16.331,1,0.0378,0.18600000000000005,0.175,0.119,0.354,177.69099999999997,4,38,10948,0,2006,3.91,1990-2010
5w8bF2RGgf9PkXEoEl8SSN,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.398,0.685,7,-9.098,0,0.0417,0.417,0.00558,0.0787,0.376,109.994,4,32,10948,0,2013,3.09,2011-2020
5u9zU1N1urKWaULrbEhMpr,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.7140000000000001,0.928,0,-7.1179999999999986,1,0.0385,0.0343,0.746,0.13699999999999998,0.487,120.007,4,29,10948,0,2018,3.6,2011-2020
1TC9cYi9ZlEAhpoyd5sYn4,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.519,0.728,4,-6.66,0,0.029,0.103,0.000518,0.0652,0.321,86.02600000000002,4,26,10948,0,2016,3.78,2011-2020
2YiGsf5CLUtgty23h1RNOQ,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.574,0.635,3,-6.683,1,0.0242,0.0007650000000000001,0.00102,0.364,0.521,99.994,4,10,10948,0,2019,4.11,2011-2020
7t1xsaC6y8tnTy1LDGkHAO,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.468,0.774,4,-7.877000000000002,0,0.0512,0.00718,0.000541,0.459,0.606,168.28799999999995,4,20,10948,0,2016,2.55,2011-2020
3AJaqqDSA7z71SdV17zU9V,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.455,0.727,9,-7.742000000000001,0,0.0434,0.123,9.39e-06,0.11,0.23,155.911,4,19,10948,0,2016,3.45,2011-2020
4Ak5UWrKlJnxfzqhqWK0Gy,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.439,0.274,2,-9.411,1,0.0719,0.499,0.0,0.0947,0.231,168.30599999999995,4,18,10948,0,2016,5.52,2011-2020
732E0eyc8nzLl8fGoy8I2G,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.669,0.594,0,-7.529,1,0.0262,0.115,0.0,0.199,0.362,110.099,4,6,10948,0,2019,3.85,2011-2020
0FzWLlPkhB7EtjECWTckvy,41EfC0kQmOWfbW2FBGttze,La Maison Tellier,rock,0.624,0.58,4,-11.078,0,0.0333,0.5770000000000001,0.0427,0.0893,0.669,82.087,3,15,10948,0,2007,5.99,1990-2010
5wzjMSVKtRKqwMPEBZmjDR,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.28,0.594,2,-6.449,1,0.0356,0.0518,0.759,0.0796,0.135,116.013,4,1,143,0,2014,5.15,2011-2020
3UyBGsmeRCaiTW559lhOo1,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.436,0.631,7,-7.869,1,0.0403,0.14400000000000002,0.45,0.105,0.0644,120.534,4,0,143,0,2014,7.27,2011-2020
3Nrq86aCcPztNSnwak0Sox,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.591,0.505,4,-8.674,1,0.0366,0.287,0.878,0.11,0.0393,106.034,4,0,143,0,2014,6.6,2011-2020
0op4xMMqGUfOX0vNsOVoEe,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.335,0.718,11,-6.542000000000002,1,0.0322,0.00718,0.522,0.156,0.263,125.905,4,0,143,0,2014,3.97,2011-2020
6UNTNXzFc4RAFK0hCTZSLi,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.28300000000000003,0.301,7,-18.337,1,0.0426,0.0193,0.94,0.0805,0.0459,106.895,4,0,143,0,2014,3.39,2011-2020
79kg43pahPRYNVLUl2drvG,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.616,0.552,3,-8.471,0,0.0312,0.0786,0.912,0.898,0.14400000000000002,125.172,4,0,143,0,2012,5.53,2011-2020
006otFA9ePtQIetlGAGns1,5XrlxolRDQ4RLX75nkVFEk,Anathème,rock,0.578,0.695,4,-7.383999999999999,1,0.0337,0.000477,0.732,0.469,0.0859,128.10399999999998,4,0,143,0,2012,5.14,2011-2020
6Zw0NBdfr1VlVJjDRFwUe1,0qG2Tf6fJaCuWKGz1IitKa,Moriarty,rock,0.748,0.305,10,-9.166,0,0.034,0.901,3.11e-06,0.103,0.263,126.149,4,67,130721,1,2007,4.41,1990-2010
1XGAWEMIzbL8JiLBvhDhBw,0qG2Tf6fJaCuWKGz1IitKa,Moriarty,rock,0.8959999999999999,0.124,4,-14.978,0,0.0413,0.885,1.46e-06,0.114,0.7190000000000001,99.916,4,49,130721,0,2008,2.05,1990-2010
3g8awpRqI5Tq5TBgTYJhdk,0qG2Tf6fJaCuWKGz1IitKa,Moriarty,rock,0.628,0.595,0,-9.203,1,0.0444,0.502,0.004520000000000001,0.242,0.474,98.329,4,43,130721,0,2013,3.51,2011-2020
1l76n4YCRTxexGQr3iPXlI,0qG2Tf6fJaCuWKGz1IitKa,Moriarty,rock,0.444,0.474,6,-9.511,0,0.0352,0.693,0.0847,0.115,0.18600000000000005,171.998,4,39,130721,0,2007,5.07,1990-2010
3Ug2Ikn8kwxJs7S40blPzM,0qG2Tf6fJaCuWKGz1IitKa,Moriarty,rock,0.7090000000000001,0.465,11,-7.64,0,0.0336,0.884,0.0539,0.14300000000000002,0.8340000000000001,106.177,4,39,130721,0,2007,3.88,1990-2010
0rIMv5cxQERn91H6hcvc5W,0qG2Tf6fJaCuWKGz1IitKa,Moriarty,rock,0.596,0.621,7,-6.142,0,0.111,0.872,0.145,0.111,0.556,115.221,4,31,130721,0,2007,3.18,1990-2010
